Connected to database !
server is running at 4000
policy number -------> 8SXMXX3WE0LY2
policy number -------> 8EBX5MBW6A67Z
policy number -------> O5KECNQ6A28ND
policy number -------> VPOFUBYCIJ0VE
policy number -------> RP4I94DF26XF1
policy number -------> S1MRIE4O00FU9
policy number -------> 5OY74EKDHEF2M
policy number -------> QQLQX84TH1WCI
policy number -------> F4OLGUQUP4XVO
policy number -------> Q6UJB8GP6WC3H
policy number -------> LM9ZF6GTUT6CY
policy number -------> CSW7ZKV8NQ0P5
policy number -------> OKCS670HBX6G0
policy number -------> 2ZOPCL4ZENLHH
policy number -------> J7SME65P9TR55
policy number -------> FMOF42RTC66LZ
policy number -------> ANAQS1PA201IY
policy number -------> ZILI245Z2JIPB
policy number -------> ZIHTVNXNGO6BY
policy number -------> XOIA539HTQUY9
policy number -------> 51T1HRXLKVFKK
policy number -------> XI1KH1GC39RHN
policy number -------> 7596MUZT4CLMN
policy number -------> ZZD72AGFTS5UM
policy number -------> 6BUUT03GXFIF2
policy number -------> EAXGBJVSEIP6F
policy number -------> YTS0GDAAV747R
policy number -------> LSJSX319GFM1F
policy number -------> 36V21AGFQM1IK
policy number -------> XGA4SB0EF26P1
policy number -------> 2OM03SC78RVTU
policy number -------> I8HAEX5MEIKVT
policy number -------> YVXTG4C8B4EUQ
policy number -------> IC46IV0YWOF3J
policy number -------> OHM46Z6LJL9M6
policy number -------> K1L2VOU5M2TVC
policy number -------> 3BKIEM34M1NKW
policy number -------> WTQMSFEBZXQZZ
policy number -------> L13XDSIK4XTEZ
policy number -------> 0OM1W18SQK4HY
policy number -------> GRB3BYJY4RU2U
policy number -------> PW96NC1M9TOA9
policy number -------> NGL4YTMHFXOT0
policy number -------> OYMY5QJALX9S6
policy number -------> UI6SOOFK7NN94
policy number -------> R26K261CF2MAB
policy number -------> TJ91Y1DJ7HH7R
policy number -------> 42BECZWYG9GUI
policy number -------> AVYUVIWH8GBQV
policy number -------> 4ZXODBNDSWBXB
policy number -------> NTA296H7U08AU
policy number -------> VGKJ1QJC7W7DS
policy number -------> D5060HYE0CEO0
policy number -------> GJ83SPYNGMERK
policy number -------> 2XE4EUXFDLCU7
policy number -------> 96FOW4EPD8GMR
policy number -------> 13LXMX621AD1R
policy number -------> 3WML2KNB37WNR
policy number -------> 8WE8JP9HEZTRK
policy number -------> WCKPH7R4F6WQ5
policy number -------> H4KGMVEBCCEM0
policy number -------> SQ1R3Y5DAETID
policy number -------> CB8EJ7PKX42BS
